"region","år","fastighetstyp",Köpeskilling för småhus, medelvärde i tkr
"0162 Danderyd","2013","permanentbostad (ej tomträtt)",8816
"0162 Danderyd","2014","permanentbostad (ej tomträtt)",9355
"0162 Danderyd","2015","permanentbostad (ej tomträtt)",10182
"0162 Danderyd","2016","permanentbostad (ej tomträtt)",11428
"0162 Danderyd","2017","permanentbostad (ej tomträtt)",11902
"0163 Sollentuna","2012","permanentbostad (ej tomträtt)",4575
"0163 Sollentuna","2013","permanentbostad (ej tomträtt)",4843
"0163 Sollentuna","2014","permanentbostad (ej tomträtt)",5551
"0163 Sollentuna","2015","permanentbostad (ej tomträtt)",6207
"0163 Sollentuna","2016","permanentbostad (ej tomträtt)",6921
"0163 Sollentuna","2017","permanentbostad (ej tomträtt)",7301
"0180 Stockholm","2012","permanentbostad (ej tomträtt)",4639
"0180 Stockholm","2013","permanentbostad (ej tomträtt)",5213
"0180 Stockholm","2014","permanentbostad (ej tomträtt)",5640
"0180 Stockholm","2015","permanentbostad (ej tomträtt)",6611
"0180 Stockholm","2016","permanentbostad (ej tomträtt)",7080
"0180 Stockholm","2017","permanentbostad (ej tomträtt)",7681
"0181 Södertälje","2012","permanentbostad (ej tomträtt)",2563
"0181 Södertälje","2013","permanentbostad (ej tomträtt)",2618
"0181 Södertälje","2014","permanentbostad (ej tomträtt)",2803
"0181 Södertälje","2015","permanentbostad (ej tomträtt)",3040
"0181 Södertälje","2016","permanentbostad (ej tomträtt)",3435
"0181 Södertälje","2017","permanentbostad (ej tomträtt)",3659
"0182 Nacka","2012","permanentbostad (ej tomträtt)",5311
"0182 Nacka","2013","permanentbostad (ej tomträtt)",6239
"0182 Nacka","2014","permanentbostad (ej tomträtt)",6733
"0182 Nacka","2015","permanentbostad (ej tomträtt)",7094
"0182 Nacka","2016","permanentbostad (ej tomträtt)",8145
"0182 Nacka","2017","permanentbostad (ej tomträtt)",8350
"0183 Sundbyberg","2012","permanentbostad (ej tomträtt)",5329
"0183 Sundbyberg","2013","permanentbostad (ej tomträtt)",5916
"0183 Sundbyberg","2014","permanentbostad (ej tomträtt)",6107
"0183 Sundbyberg","2015","permanentbostad (ej tomträtt)",6833
"0183 Sundbyberg","2016","permanentbostad (ej tomträtt)",7898
"0183 Sundbyberg","2017","permanentbostad (ej tomträtt)",7861
"0184 Solna","2012","permanentbostad (ej tomträtt)",6842
"0184 Solna","2013","permanentbostad (ej tomträtt)",6724
"0184 Solna","2014","permanentbostad (ej tomträtt)",8020
"0184 Solna","2015","permanentbostad (ej tomträtt)",9275
"0184 Solna","2016","permanentbostad (ej tomträtt)",9251
"0184 Solna","2017","permanentbostad (ej tomträtt)",9958
"0186 Lidingö","2012","permanentbostad (ej tomträtt)",6692
"0186 Lidingö","2013","permanentbostad (ej tomträtt)",8167
"0186 Lidingö","2014","permanentbostad (ej tomträtt)",8909
"0186 Lidingö","2015","permanentbostad (ej tomträtt)",9321
"0186 Lidingö","2016","permanentbostad (ej tomträtt)",10051
"0186 Lidingö","2017","permanentbostad (ej tomträtt)",11454
"0187 Vaxholm","2012","permanentbostad (ej tomträtt)",4962
"0187 Vaxholm","2013","permanentbostad (ej tomträtt)",5069
"0187 Vaxholm","2014","permanentbostad (ej tomträtt)",5462
"0187 Vaxholm","2015","permanentbostad (ej tomträtt)",6046
"0187 Vaxholm","2016","permanentbostad (ej tomträtt)",6616
"0187 Vaxholm","2017","permanentbostad (ej tomträtt)",7661
"0188 Norrtälje","2012","permanentbostad (ej tomträtt)",2070
"0188 Norrtälje","2013","permanentbostad (ej tomträtt)",2043
"0188 Norrtälje","2014","permanentbostad (ej tomträtt)",2232
"0188 Norrtälje","2015","permanentbostad (ej tomträtt)",2265
"0188 Norrtälje","2016","permanentbostad (ej tomträtt)",2447
"0188 Norrtälje","2017","permanentbostad (ej tomträtt)",2661
"0191 Sigtuna","2012","permanentbostad (ej tomträtt)",3362
"0191 Sigtuna","2013","permanentbostad (ej tomträtt)",3522
